year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,6,27,1335,1214,81,1426,1335,51,UA,1037,N34222,EWR,BOS,35,200,12,14,2013-06-27 12:00:00
2013,6,9,1720,1735,-15,1928,1937,-9,YV,2751,N926LR,LGA,CLT,87,544,17,35,2013-06-09 17:00:00
2013,7,31,2007,2007,0,2358,2359,-1,UA,1244,N39418,EWR,SJU,200,1608,20,7,2013-07-31 20:00:00
2013,5,25,1055,1100,-5,1358,1409,-11,DL,930,N960DL,LGA,FLL,143,1076,11,0,2013-05-25 11:00:00
2013,12,17,10,1930,280,313,2238,275,B6,225,N615JB,JFK,TPA,145,1005,19,30,2013-12-17 19:00:00
2013,5,31,1951,1955,-4,2101,2110,-9,AA,1762,N3AWAA,JFK,BOS,39,187,19,55,2013-05-31 19:00:00
2013,8,1,1150,1200,-10,1514,1507,7,UA,580,N557UA,JFK,SFO,352,2586,12,0,2013-08-01 12:00:00
2013,4,1,1927,1730,117,2045,1858,107,B6,1307,N348JB,JFK,IAD,57,228,17,30,2013-04-01 17:00:00
2013,7,2,555,600,-5,758,806,-8,EV,4535,N17159,EWR,MSP,135,1008,6,0,2013-07-02 06:00:00
2013,3,29,1151,1200,-9,1257,1305,-8,US,2126,N956UW,LGA,BOS,36,184,12,0,2013-03-29 12:00:00
2013,6,4,1426,1415,11,1640,1619,21,B6,1275,N298JB,JFK,CHS,90,636,14,15,2013-06-04 14:00:00
2013,4,16,1827,1829,-2,2129,2139,-10,UA,1219,N28457,EWR,SEA,341,2402,18,29,2013-04-16 18:00:00
2013,1,24,1123,1125,-2,1607,1620,-13,DL,315,N3764D,JFK,SJU,196,1598,11,25,2013-01-24 11:00:00
2013,7,12,1336,1245,51,1619,1535,44,AA,745,N3KRAA,LGA,DFW,172,1389,12,45,2013-07-12 12:00:00
2013,2,27,951,815,96,1102,958,64,9E,3521,N604LR,JFK,ORD,110,740,8,15,2013-02-27 08:00:00
2013,2,26,738,741,-3,929,941,-12,EV,4246,N16999,EWR,DTW,89,488,7,41,2013-02-26 07:00:00
2013,4,19,1458,1500,-2,1746,1800,-14,AA,883,N573AA,EWR,DFW,207,1372,15,0,2013-04-19 15:00:00
2013,7,26,2042,2004,38,2327,2249,38,UA,1695,N13716,EWR,IAH,182,1400,20,4,2013-07-26 20:00:00
2013,3,25,847,730,77,1136,1040,56,AA,715,N546AA,LGA,DFW,206,1389,7,30,2013-03-25 07:00:00
2013,1,6,1820,1815,5,2013,2026,-13,DL,2019,N316US,LGA,MSP,146,1020,18,15,2013-01-06 18:00:00
2013,12,20,1604,1459,65,1927,1816,71,UA,1615,N79279,EWR,AUS,234,1504,14,59,2013-12-20 14:00:00
2013,4,22,1638,1630,8,1919,1918,1,UA,1112,N14121,EWR,IAH,199,1400,16,30,2013-04-22 16:00:00
2013,10,18,641,648,-7,913,913,0,UA,511,N562UA,EWR,LAS,306,2227,6,48,2013-10-18 06:00:00
2013,10,15,700,705,-5,934,953,-19,DL,2285,N302NB,LGA,MCO,123,950,7,5,2013-10-15 07:00:00
2013,9,26,838,840,-2,949,1000,-11,EV,4252,N14558,EWR,MKE,102,725,8,40,2013-09-26 08:00:00
2013,6,17,1311,1315,-4,1434,1455,-21,AA,331,N473AA,LGA,ORD,118,733,13,15,2013-06-17 13:00:00
2013,7,31,2053,2100,-7,2157,2210,-13,US,2144,N956UW,LGA,BOS,44,184,21,0,2013-07-31 21:00:00
2013,10,22,1821,1829,-8,2025,2033,-8,US,425,N521UW,JFK,CLT,94,541,18,29,2013-10-22 18:00:00
2013,10,31,1705,1715,-10,1841,1905,-24,AA,345,N200AA,LGA,ORD,120,733,17,15,2013-10-31 17:00:00
2013,10,13,629,629,0,901,915,-14,UA,1144,N37465,EWR,MCO,132,937,6,29,2013-10-13 06:00:00
